star_id,flux_mean,flux_std,flux_skew,flux_kurt,err_mean,err_std,depth_mean,depth_std,duration_mean,duration_std,ingress_mean,egress_mean,ratio_ingress_egress,depth_over_duration,teff,radius,mass,logg,feh,label
757450,11750.023255233993,96.42042536266673,0.335070337250416,-0.6086296128259319,5.088697732327586,0.01789188536755309,0.020921958610415396,3.469446951953614e-18,32.940367804571,0.0,20.189320104727813,12.751047699843184,1.583345854915926,0.000635146459183303,5332.0,0.843,0.821,4.5,-0.08,1.0
1717528,21397.765457512316,12.65245682252972,6.417173336960941,125.52188131869141,5.986698024938424,0.01470930735911539,0.0013782362220807998,2.168404344971009e-19,29.32342374439031,0.0,5.946453330980148,23.376970413410163,0.25437227200307794,4.700120242075278e-05,6099.0,1.028,1.098,4.456,0.02,0.0
1724513,51208.95211453202,11.614965876595127,-0.03347909501769154,0.23564311787697623,8.113513793103449,0.00846228964913758,0.0007821032195352002,1.0842021724855044e-19,33.349071742763044,0.0,31.36694232650916,1.9821294162538832,15.824863020764774,2.3452022956318072e-05,6401.0,1.744,1.185,4.029,-0.2,0.0
2142522,95879.5576673774,14.359424869557149,0.528108257642407,1.733823922208579,10.377918512793176,0.025758194186021335,0.00034768728073679997,5.421010862427522e-20,9.093380222824637,0.0,3.106055778778682,5.987324444045953,0.5187718302280484,3.823520340971688e-05,6113.0,1.218,1.194,4.341,0.22,1.0
2307415,88129.0960554371,15.950198336092093,-0.08061626945205129,-0.34413864430265395,9.616936421108742,0.024532323564829952,0.0005682311020790999,1.0842021724855044e-19,9.256884259302751,0.0,6.45734228897345,2.799541970329301,2.306570164277169,6.138469756963374e-05,6140.0,1.277,1.094,4.265,0.0,1.0
2308957,21298.635016317738,2189.828164900162,-1.7729544817047087,1.6444018135162475,5.701637957450739,0.19230465643622743,0.3225755095481872,0.0,32.73604661527497,0.0,4.883867896809534,27.85217871846544,0.1753495757307507,0.009853831877910339,5788.0,3.211,1.52,3.607,-0.04,0.0
2437149,1479.442184088973,51.498849433088736,-7.660959434214069,62.48304524612071,4.681398176928538,0.016990571894665428,0.3875171542167663,0.0,89.27020710693614,0.0,71.80020162364235,17.47000548329379,4.109912706231873,0.0043409460158596504,5334.0,0.796,0.893,4.585,-0.02,0.0
2437505,102.5462523909134,7.718140379546688,-3.9807318191514223,37.11951216095751,4.883084699029816,0.015866497136596613,0.7872605919837952,0.0,89.12717762165266,0.0,34.347301834139216,54.77987578751345,0.6270058249194229,0.00883300250449684,5780.0,1.0,0.0,4.438,0.0,1.0
2438517,7877.979630288689,6.1214121951135905,0.4397166939738697,2.1382200399577114,5.203286963724563,0.047789441025506335,0.0026870993897318,0.0,87.81947315040452,0.0,2.390636725591321,85.4288364248132,0.027983954805604668,3.059798997577375e-05,5385.0,0.875,0.835,4.476,-0.06,0.0
2444412,127995.37418492563,88.11259660537982,3.4386343638152113,120.97417011088127,63.65853759986541,0.630541692576294,0.0046620247885584,0.0,30.012175335068605,0.0,11.005078864633106,19.0070964704355,0.5789983916140222,0.00015533777812410494,5650.0,0.899,0.932,4.5,-0.04,1.0
2446623,7301.599954742015,12.230475663187786,-15.64228541894888,411.1517312881555,5.304182065159704,0.013643054153770068,0.04634933546185491,6.938893903907228e-18,88.10945256204285,1.4210854715202004e-14,8.95017021928652,79.15928234275634,0.11306532653324641,0.0005260427069748846,6021.0,0.819,0.922,4.57,-0.5,0.0
2576197,21084.105762931038,9.10168052418696,0.9138033813458475,9.531630830257242,5.641010116194582,0.005545902567988656,0.0012624385999515,0.0,32.91990863382671,0.0,3.167359096609289,29.75254953721742,0.10645672520234002,3.834878691933853e-05,6521.0,1.276,1.334,4.352,0.21,0.0
2578811,223517.93042643924,1345.271230153816,-0.5446237093631083,-1.196144614850871,13.842592131130065,0.034888033300734304,0.013155826367437805,5.204170427930421e-18,6.191690521576675,0.0,3.453451710520312,2.7382388110563625,1.2611940329609166,0.002124754814026613,3861.0,46.169,0.893,1.06,-0.22,0.0
2581191,25278.720271551723,14.08276418540595,-0.19333324939291333,4.457005543703791,6.081077580110837,0.013705523104726948,0.0019191007595509,0.0,29.037370386431576,0.0,8.705118322766793,20.332252063664782,0.428143319656171,6.609071923251451e-05,6198.0,1.005,1.072,4.464,-0.16,0.0
2708286,12031.058858374383,5.349780803824523,0.19902531234398718,0.3653294293460081,4.625146002463055,0.016351446306133246,0.0015109778614713998,2.168404344971009e-19,32.73595987375302,0.0,20.557097651086224,12.178862222666794,1.6879323854155952,4.6156514766697106e-05,5706.0,1.12,0.824,4.255,-0.32,0.0
2708614,6810.342820663392,8.235232463741418,3.02004077014788,153.0783573092114,4.162573177223587,0.015504463374221619,0.013062594458460804,3.469446951953614e-18,88.33405708266947,1.4210854715202004e-14,82.91934773978574,5.414709342883725,15.313718091820435,0.00014787721454204982,6483.0,1.078,1.114,4.42,-0.28,0.0
2711131,56122.264514778326,259.7013289074924,0.03804832149325733,-1.1852557214401767,7.850382005172413,0.022586877018431213,0.0086377644911408,0.0,21.374420835913043,0.0,3.432998781972856,17.941422053940187,0.191344843251936,0.0004041168719065764,4973.0,0.754,0.848,4.603,0.14,0.0
2831251,21576.082274630542,8.961456492402275,0.2759305074524586,0.824184043600769,5.77489793768473,0.004906206107358105,0.0013144054682924999,2.168404344971009e-19,33.246665398342884,0.0,33.12406060867215,0.1226047896707314,270.16718131851457,3.953495525067181e-05,6175.0,1.041,1.013,4.41,-0.2,0.0
